param,Mean,Median,St.Dev.,95%CI_low,95%CI_upp
numspp[58],2.522666666666667,2,1.1839096081280032,1,5
numspp[59],0.9978888888888889,1,0.9888229624569906,0,3
numspp[60],5.560777777777778,5,1.1999164024088569,4,8
numspp[61],3.599111111111111,3,1.5187677587217363,1,7
numspp[62],8.502,8,1.1564938140749197,7,11
numspp[63],7.311555555555556,7,1.0992728214070582,6,10
numspp[64],9.556444444444445,9,0.7209442868663437,9,11
numspp[65],2.7208888888888887,3,0.8248604786870315,2,5
numspp[66],2.307777777777778,2,1.105776665093545,1,5
numspp[67],8.669222222222222,8,0.7942085734178429,8,10
numspp[68],2.155222222222222,2,1.0309228528892702,1,4
numspp[69],6.995555555555556,7,0.9609454625757482,6,9
numspp[70],3.1052222222222223,3,1.0042334301644003,2,5
numspp[71],7.096111111111111,7,1.0043722557186845,6,9
numspp[72],8.694333333333333,9,0.8113616338326891,8,11
numspp[73],5.2284444444444444,5,1.0518462394356167,4,8
numspp[74],9.912,10,0.9051165201794065,9,12
numspp[75],2.2915555555555556,2,1.0889415868428174,1,5
numspp[76],4.616555555555555,4,0.7684272323413169,4,6
numspp[77],3.559222222222222,3,1.1799165111014671,2,6
numspp[78],5.547,5,1.1653076342457305,4,8
numspp[79],6.198111111111111,6,1.0342381811160526,5,9
numspp[80],3.8307777777777776,4,1.283871007726245,2,7
numspp[81],6.427,6,1.1303547477503473,5,9
numspp[82],10.081,10,1.0031593054275005,9,12
numspp[83],4.496333333333333,4,1.1635784323833052,3,7
numspp[84],7.234666666666667,7,1.056487901107837,6,10
numspp[85],5.436,5,1.1247913957551796,4,8
numspp[86],9.588888888888889,9,0.7508108658011087,9,11
numspp[87],7.145444444444444,7,1.0255440270506644,6,9
numspp[88],7.125555555555556,7,1.0020604521225214,6,9
numspp[89],6.297888888888889,6,1.0849238042139098,5,9
numspp[90],4.456777777777778,4,1.1310008212205072,3,7
numspp[91],5.1915555555555555,5,1.051182572525027,4,8
numspp[92],5.481777777777777,5,1.157216521833219,4,8
numspp[93],6.419111111111111,6,1.1239996176368139,5,9
numspp[94],5.155777777777778,5,1.0348736111207306,4,8
numspp[95],6.714444444444444,7,1.232866676691393,5,9
numspp[96],6.536555555555555,6,1.1659680147906544,5,9
numspp[97],6.646111111111111,7,1.1987632943220508,5,9
numspp[98],8.665333333333333,8,0.7889941917709498,8,10
numspp[99],6.561333333333334,6,1.185915042604855,5,9
numspp[100],3.510111111111111,3,1.1610544985025648,2,6
numspp[101],8.723555555555556,9,0.8160114444254413,8,11
numspp[102],1.6868888888888889,2,1.2240711326020304,0,4
numspp[103],4.220111111111111,4,1.0580946950518908,3,7
numspp[104],4.105444444444444,4,1.0155438910377503,3,6
numspp[105],5.851222222222222,6,1.2672539203619344,4,9
numspp[106],8.655,9,1.2030157589674526,7,11
numspp[107],4.06,4,1.3345569819372867,2,7
numspp[108],4.956444444444444,5,1.3054854573640673,3,8
numspp[109],4.101,4,1.0000106122339447,3,6
numspp[110],2.3,2,1.0965198663558424,1,5
numspp[111],5.215,5,1.0614508769689939,4,8
numspp[112],8.103555555555555,8,0.9988039420302686,7,10
numspp[113],2.2344444444444442,2,1.0700190633306033,1,5
numspp[114],3.102777777777778,3,1.019420847258077,2,5
numspp[115],6.0921111111111115,6,1.0010906314471488,5,8
numspp[116],1.2466666666666666,1,1.084925858404785,0,4
numspp[117],7.309444444444445,7,1.0987065313491866,6,10
numspp[118],1.6845555555555556,2,1.2373351392079557,0,4
numspp[119],7.607888888888889,7,0.7587867249895212,7,9
numspp[120],3.836333333333333,4,0.89285535662514,3,6
numspp[121],3.6155555555555554,3,1.211761371257334,2,6
numspp[122],2.7643333333333335,3,0.8634489333198352,2,5
numspp[123],3.5825555555555555,3,1.2006527293841647,2,6
numspp[124],2.9036666666666666,3,0.9308505956520164,2,5
numspp[125],3.5107777777777778,3,1.168394896247228,2,6
numspp[126],4.443777777777778,4,1.1458555532635624,3,7
numspp[127],8.371555555555556,8,1.0953801004312331,7,11
numspp[128],3.901222222222222,4,0.91396704847733,3,6
numspp[129],8.214555555555556,8,1.0494334202969746,7,11
numspp[130],3.065777777777778,3,1.6030397961423017,0,6
numspp[131],1.5634444444444444,1,1.1788489162922007,0,4
numspp[132],5.312555555555556,5,1.0909206779468328,4,8
numspp[133],4.699666666666666,5,0.8070419455367619,4,7
numspp[134],2.817111111111111,3,0.8768462267438437,2,5
numspp[135],1.8688888888888888,2,0.8997591316806176,1,4
numspp[136],8.852777777777778,9,0.8869872416671339,8,11
numspp[137],3.4674444444444443,3,1.693101290341405,1,7
numspp[138],5.749555555555555,6,0.8320116495984156,5,8
numspp[139],7.159,7,1.0408625907247833,6,9
numspp[140],2.7685555555555554,3,0.8543763925449017,2,5
numspp[141],4.1241111111111115,4,1.015184629552727,3,6
numspp[142],6.25,6,1.0644055701145378,5,9
numspp[143],3.1262222222222222,3,1.018149093160474,2,5
numspp[144],3.3445555555555555,3,1.0947212550766081,2,6
numspp[145],5.563666666666666,5,1.680222939874603,3,9
numspp[146],1.3165555555555555,1,1.0966786182841162,0,4
numspp[147],7.8068888888888885,8,0.8631414138025195,7,10
numspp[148],5.119666666666666,5,1.0097930856300208,4,7
numspp[149],2.236,2,1.056085608735968,1,5
numspp[150],4.237111111111111,4,1.052568962655445,3,7
numspp[151],1.6976666666666667,2,0.8150675047051983,1,4
numspp[152],5.706888888888889,6,1.223486357720629,4,8
numspp[153],8.865777777777778,9,0.8957096411546678,8,11
numspp[154],3.3716666666666666,3,1.1163940630293174,2,6
numspp[155],3.5092222222222222,3,1.1756141007088519,2,6
numspp[156],7.053111111111111,7,0.9801118704950399,6,9
numspp[157],3.7217777777777776,4,0.8357318817349194,3,6
numspp[158],7.918888888888889,8,0.9189144134120716,7,10
numspp[159],4.728,5,0.8287092211501249,4,7
numspp[160],0.8934444444444445,1,0.9216930520819028,0,3
numspp[161],8.952111111111112,9,0.9360220810681964,8,11
numspp[162],4.330777777777778,4,1.0938957477983908,3,7
numspp[163],3.095222222222222,3,0.9966827162583132,2,5
numspp[164],2.012888888888889,2,0.9785171539238686,1,4
numspp[165],2.7345555555555556,3,0.8295608874236594,2,5
numspp[166],2.8626666666666667,3,1.289182255492384,1,6
numspp[167],1.3611111111111112,1,1.1056225641964674,0,4
numspp[168],6.986777777777778,7,0.9628864999438655,6,9
